Hiragana,Romaji,Tags
あ,a,Hiragana Japanese basic
い,i,Hiragana Japanese basic
う,u,Hiragana Japanese basic
え,e,Hiragana Japanese basic
お,o,Hiragana Japanese basic
か,ka,Hiragana Japanese basic
き,ki,Hiragana Japanese basic
く,ku,Hiragana Japanese basic
け,ke,Hiragana Japanese basic
こ,ko,Hiragana Japanese basic
さ,sa,Hiragana Japanese basic
し,shi,Hiragana Japanese basic
す,su,Hiragana Japanese basic
せ,se,Hiragana Japanese basic
そ,so,Hiragana Japanese basic
た,ta,Hiragana Japanese basic
ち,chi,Hiragana Japanese basic
つ,tsu,Hiragana Japanese basic
て,te,Hiragana Japanese basic
と,to,Hiragana Japanese basic
な,na,Hiragana Japanese basic
に,ni,Hiragana Japanese basic
ぬ,nu,Hiragana Japanese basic
ね,ne,Hiragana Japanese basic
の,no,Hiragana Japanese basic
は,ha,Hiragana Japanese basic
ひ,hi,Hiragana Japanese basic
ふ,fu,Hiragana Japanese basic
へ,he,Hiragana Japanese basic
ほ,ho,Hiragana Japanese basic
ま,ma,Hiragana Japanese basic
み,mi,Hiragana Japanese basic
む,mu,Hiragana Japanese basic
め,me,Hiragana Japanese basic
も,mo,Hiragana Japanese basic
や,ya,Hiragana Japanese basic
ゆ,yu,Hiragana Japanese basic
よ,yo,Hiragana Japanese basic
ら,ra,Hiragana Japanese basic
り,ri,Hiragana Japanese basic
る,ru,Hiragana Japanese basic
れ,re,Hiragana Japanese basic
ろ,ro,Hiragana Japanese basic
わ,wa,Hiragana Japanese basic
を,wo,Hiragana Japanese basic
ん,n,Hiragana Japanese basic
が,ga,Hiragana Japanese basic
ぎ,gi,Hiragana Japanese basic
ぐ,gu,Hiragana Japanese basic
げ,ge,Hiragana Japanese basic
ご,go,Hiragana Japanese basic
ざ,za,Hiragana Japanese basic
じ,ji,Hiragana Japanese basic
ず,zu,Hiragana Japanese basic
ぜ,ze,Hiragana Japanese basic
ぞ,zo,Hiragana Japanese basic
だ,da,Hiragana Japanese basic
ぢ,ji,Hiragana Japanese basic
づ,zu,Hiragana Japanese basic
で,de,Hiragana Japanese basic
ど,do,Hiragana Japanese basic
ば,ba,Hiragana Japanese basic
び,bi,Hiragana Japanese basic
ぶ,bu,Hiragana Japanese basic
べ,be,Hiragana Japanese basic
ぼ,bo,Hiragana Japanese basic
ぱ,pa,Hiragana Japanese basic
ぴ,pi,Hiragana Japanese basic
ぷ,pu,Hiragana Japanese basic
ぺ,pe,Hiragana Japanese basic
ぽ,po,Hiragana Japanese basic
